CVE,DESCRIP
0,Sin horas de realizar quehaceres de su hogar
1,Una hora de realizar quehaceres de su hogar
2,Dos horas de realizar quehaceres de su hogar
3,Tres horas de realizar quehaceres de su hogar
4,Cuatro horas de realizar quehaceres de su hogar
5,Cinco horas de realizar quehaceres de su hogar
6,Séis horas de realizar quehaceres de su hogar
7,Siete horas de realizar quehaceres de su hogar
8,Ocho horas de realizar quehaceres de su hogar
9,Nueve horas de realizar quehaceres de su hogar
10,Diez horas de realizar quehaceres de su hogar
11,Once horas de realizar quehaceres de su hogar
12,Doce horas de realizar quehaceres de su hogar
13,Trece horas de realizar quehaceres de su hogar
14,Catorce horas de realizar quehaceres de su hogar
15,Quince horas de realizar quehaceres de su hogar
16,Diciséis horas de realizar quehaceres de su hogar
17,Diecisiete horas de realizar quehaceres de su hogar
18,Dieciocho horas de realizar quehaceres de su hogar
19,Diecinueve horas de realizar quehaceres de su hogar
20,Veinte horas de realizar quehaceres de su hogar
21,Veintiuno horas de realizar quehaceres de su hogar
22,Veintidos horas de realizar quehaceres de su hogar
23,Veintitrés horas de realizar quehaceres de su hogar
24,Veintcuatro horas de realizar quehaceres de su hogar
25,Veinticinco horas de realizar quehaceres de su hogar
26,Veintiséis horas de realizar quehaceres de su hogar
27,Veintisiete horas de realizar quehaceres de su hogar
28,Veintiocho horas de realizar quehaceres de su hogar
29,Veintinueve horas de realizar quehaceres de su hogar
30,Treinta horas de realizar quehaceres de su hogar
31,Treinta y uno horas de realizar quehaceres de su hogar
32,Treinta y dos horas de realizar quehaceres de su hogar
33,Treinta y trés horas de realizar quehaceres de su hogar
34,Treinta y cuatro horas de realizar quehaceres de su hogar
35,Treinta y cinco horas de realizar quehaceres de su hogar
36,Treinta y séis horas de realizar quehaceres de su hogar
37,Treinta y siete horas de realizar quehaceres de su hogar
38,Treinta y ocho horas de realizar quehaceres de su hogar
39,Treinta y nueve horas de realizar quehaceres de su hogar
40,Cuarenta horas de realizar quehaceres de su hogar
41,Cuarenta y uno horas de realizar quehaceres de su hogar
42,Cuarenta y dos horas de realizar quehaceres de su hogar
43,Cuarenta y trés horas de realizar quehaceres de su hogar
44,Cuarenta y cuatro horas de realizar quehaceres de su hogar
45,Cuarenta y cinco horas de realizar quehaceres de su hogar
46,Caurenta y séis horas de realizar quehaceres de su hogar
47,Cuareta y siete horas de realizar quehaceres de su hogar
48,Cuarenta y ocho horas de realizar quehaceres de su hogar
49,Caurenta y nueve horas de realizar quehaceres de su hogar
50,Cincuenta horas de realizar quehaceres de su hogar
51,Cincuenta y uno horas de realizar quehaceres de su hogar
52,Cincuenta y dos horas de realizar quehaceres de su hogar
53,Cincuenta y trés horas de realizar quehaceres de su hogar
54,Cincuenta y cuatro horas de realizar quehaceres de su hogar
55,Cincuenta y cinco horas de realizar quehaceres de su hogar
56,Cincuenta y séis horas de realizar quehaceres de su hogar
57,Cincuenta y siete horas de realizar quehaceres de su hogar
58,Cincuenta y ocho horas de realizar quehaceres de su hogar
59,Cincuenta y nueve horas de realizar quehaceres de su hogar
60,Sesenta horas de realizar quehaceres de su hogar
61,Sesenta y uno horas de realizar quehaceres de su hogar
62,Sesenta y dos horas de realizar quehaceres de su hogar
63,Sesenta y trés horas de realizar quehaceres de su hogar
64,Sesenta y cuatro horas de realizar quehaceres de su hogar
65,Sesenta y cinco horas de realizar quehaceres de su hogar
66,Sesenta y séis horas de realizar quehaceres de su hogar
67,Sesenta y siete horas de realizar quehaceres de su hogar
68,Sesenta y ocho horas de realizar quehaceres de su hogar
69,Sesenta y nueve horas de realizar quehaceres de su hogar
70,Setenta horas de realizar quehaceres de su hogar
71,Setenta y uno horas de realizar quehaceres de su hogar
72,Setenta y dos horas de realizar quehaceres de su hogar
73,Setenta y trés horas de realizar quehaceres de su hogar
74,Setenta y cuatro horas de realizar quehaceres de su hogar
75,Setenta y cinco horas de realizar quehaceres de su hogar
76,Setenta y séis horas de realizar quehaceres de su hogar
77,Setenta y siete horas de realizar quehaceres de su hogar
78,Setenta y ocho horas de realizar quehaceres de su hogar
79,Setenta y nueve horas de realizar quehaceres de su hogar
80,Ochenta horas de realizar quehaceres de su hogar
81,Ochenta y uno horas de realizar quehaceres de su hogar
82,Ochenta y dos horas de realizar quehaceres de su hogar
83,Ochenta y trés horas de realizar quehaceres de su hogar
84,Ochenta y cuatro horas de realizar quehaceres de su hogar
85,Ochenta y cinco horas de realizar quehaceres de su hogar
86,Ochenta y séis horas de realizar quehaceres de su hogar
87,Ochenta y siete horas de realizar quehaceres de su hogar
88,Ochenta y ocho horas de realizar quehaceres de su hogar
89,Ochenta y nueve horas de realizar quehaceres de su hogar
90,Noventa horas de realizar quehaceres de su hogar
91,Noventa y uno horas de realizar quehaceres de su hogar
92,Noventa y dos horas de realizar quehaceres de su hogar
93,Noventa y trés horas de realizar quehaceres de su hogar
94,Noventa y cuatro horas de realizar quehaceres de su hogar
95,Noventa y cinco horas de realizar quehaceres de su hogar
96,Noventa y séis horas de realizar quehaceres de su hogar
97,Noventa y siete horas de realizar quehaceres de su hogar
98,Ayudó a realizar quehaceres de su hogar pero no sabe cuánto tiempo
99,No sabe
