CVE,DESCRIP
0,Sin horas de estudiar o hacer tareas escolares
1,Una hora de estudiar o hacer tareas escolares
2,Dos horas de estudiar o hacer tareas escolares
3,Tres horas de estudiar o hacer tareas escolares
4,Cuatro horas de estudiar o hacer tareas escolares
5,Cinco horas de estudiar o hacer tareas escolares
6,Séis horas de estudiar o hacer tareas escolares
7,Siete horas de estudiar o hacer tareas escolares
8,Ocho horas de estudiar o hacer tareas escolares
9,Nueve horas de estudiar o hacer tareas escolares
10,Diez horas de estudiar o hacer tareas escolares
11,Once horas de estudiar o hacer tareas escolares
12,Doce horas de estudiar o hacer tareas escolares
13,Trece horas de estudiar o hacer tareas escolares
14,Catorce horas de estudiar o hacer tareas escolares
15,Quince horas de estudiar o hacer tareas escolares
16,Diciséis horas de estudiar o hacer tareas escolares
17,Diecisiete horas de estudiar o hacer tareas escolares
18,Dieciocho horas de estudiar o hacer tareas escolares
19,Diecinueve horas de estudiar o hacer tareas escolares
20,Veinte horas de estudiar o hacer tareas escolares
21,Veintiuno horas de estudiar o hacer tareas escolares
22,Veintidos horas de estudiar o hacer tareas escolares
23,Veintitrés horas de estudiar o hacer tareas escolares
24,Veintcuatro horas de estudiar o hacer tareas escolares
25,Veinticinco horas de estudiar o hacer tareas escolares
26,Veintiséis horas de estudiar o hacer tareas escolares
27,Veintisiete horas de estudiar o hacer tareas escolares
28,Veintiocho horas de estudiar o hacer tareas escolares
29,Veintinueve horas de estudiar o hacer tareas escolares
30,Treinta horas de estudiar o hacer tareas escolares
31,Treinta y uno horas de estudiar o hacer tareas escolares
32,Treinta y dos horas de estudiar o hacer tareas escolares
33,Treinta y trés horas de estudiar o hacer tareas escolares
34,Treinta y cuatro horas de estudiar o hacer tareas escolares
35,Treinta y cinco horas de estudiar o hacer tareas escolares
36,Treinta y séis horas de estudiar o hacer tareas escolares
37,Treinta y siete horas de estudiar o hacer tareas escolares
38,Treinta y ocho horas de estudiar o hacer tareas escolares
39,Treinta y nueve horas de estudiar o hacer tareas escolares
40,Cuarenta horas de estudiar o hacer tareas escolares
41,Cuarenta y uno horas de estudiar o hacer tareas escolares
42,Cuarenta y dos horas de estudiar o hacer tareas escolares
43,Cuarenta y trés horas de estudiar o hacer tareas escolares
44,Cuarenta y cuatro horas de estudiar o hacer tareas escolares
45,Cuarenta y cinco horasde estudiar o hacer tareas escolares
46,Caurenta y séis horas de estudiar o hacer tareas escolares
47,Cuareta y siete horas de estudiar o hacer tareas escolares
48,Cuarenta y ocho horas de estudiar o hacer tareas escolares
49,Caurenta y nueve horas de estudiar o hacer tareas escolares
50,Cincuenta horas de estudiar o hacer tareas escolares
51,Cincuenta y uno horas de estudiar o hacer tareas escolares
52,Cincuenta y dos horas de estudiar o hacer tareas escolares
53,Cincuenta y trés horas de estudiar o hacer tareas escolares
54,Cincuenta y cuatro horas de estudiar o hacer tareas escolares
55,Cincuenta y cinco horas de estudiar o hacer tareas escolares
56,Cincuenta y séis horas de estudiar o hacer tareas escolares
57,Cincuenta y siete horas de estudiar o hacer tareas escolares
58,Cincuenta y ocho horas de estudiar o hacer tareas escolares
59,Cincuenta y nueve horas de estudiar o hacer tareas escolares
60,Sesenta horas de estudiar o hacer tareas escolares
61,Sesenta y uno horas de estudiar o hacer tareas escolares
62,Sesenta y dos horas de estudiar o hacer tareas escolares
63,Sesenta y trés horas de estudiar o hacer tareas escolares
64,Sesenta y cuatro horas de estudiar o hacer tareas escolares
65,Sesenta y cinco horas de estudiar o hacer tareas escolares
66,Sesenta y séis horas de estudiar o hacer tareas escolares
67,Sesenta y siete horas de estudiar o hacer tareas escolares
68,Sesenta y ocho horas de estudiar o hacer tareas escolares
69,Sesenta y nueve horas de estudiar o hacer tareas escolares
70,Setenta horas de estudiar o hacer tareas escolares
71,Setenta y uno horas de estudiar o hacer tareas escolares
72,Setenta y dos horas de estudiar o hacer tareas escolares
73,Setenta y trés horas de estudiar o hacer tareas escolares
74,Setenta y cuatro horas de estudiar o hacer tareas escolares
75,Setenta y cinco horas de estudiar o hacer tareas escolares
76,Setenta y séis horas de estudiar o hacer tareas escolares
77,Setenta y siete horas de estudiar o hacer tareas escolares
78,Setenta y ocho horas de estudiar o hacer tareas escolares
79,Setenta y nueve horas de estudiar o hacer tareas escolares
80,Ochenta horas de estudiar o hacer tareas escolares
81,Ochenta y uno horas de estudiar o hacer tareas escolares
82,Ochenta y dos horas de estudiar o hacer tareas escolares
83,Ochenta y trés horas de estudiar o hacer tareas escolares
84,Ochenta y cuatro horas de estudiar o hacer tareas escolares
85,Ochenta y cinco horas de estudiar o hacer tareas escolares
86,Ochenta y séis horas de estudiar o hacer tareas escolares
87,Ochenta y siete horas de estudiar o hacer tareas escolares
88,Ochenta y ocho horas de estudiar o hacer tareas escolares
89,Ochenta y nueve horas de estudiar o hacer tareas escolares
90,Noventa horas de estudiar o hacer tareas escolares
91,Noventa y uno horas de estudiar o hacer tareas escolares
92,Noventa y dos horas de estudiar o hacer tareas escolares
93,Noventa y trés horas de estudiar o hacer tareas escolares
94,Noventa y cuatro horas de estudiar o hacer tareas escolares
95,Noventa y cinco horas de estudiar o hacer tareas escolares
96,Noventa y séis horas de estudiar o hacer tareas escolares
97,Noventa y siete horas de estudiar o hacer tareas escolares
98,Estudiar o hacer tareas pero no sabe cuánto tiempo
99,No sabe
