CVE,DESCRIP
0,"Sin horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
1,"Una hora de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
2,"Dos horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
3,"Tres horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
4,"Cuatro horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
5,"Cinco horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
6,"Séis horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
7,"Siete horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
8,"Ocho horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
9,"Nueve horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
10,"Diez horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
11,"Once horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
12,"Doce horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
13,"Trece horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
14,"Catorce horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
15,"Quince horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
16,"Diciséis horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
17,"Diecisiete horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
18,"Dieciocho horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
19,"Diecinueve horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
20,"Veinte horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
21,"Veintiuno horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
22,"Veintidos horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
23,"Veintitrés horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
24,"Veintcuatro horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
25,"Veinticinco horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
26,"Veintiséis horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
27,"Veintisiete horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
28,"Veintiocho horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
29,"Veintinueve horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
30,"Treinta horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
31,"Treinta y uno horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
32,"Treinta y dos horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
33,"Treinta y trés horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
34,"Treinta y cuatro horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
35,"Treinta y cinco horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
36,"Treinta y séis horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
37,"Treinta y siete horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
38,"Treinta y ocho horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
39,"Treinta y nueve horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
40,"Cuarenta horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
41,"Cuarenta y uno horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
42,"Cuarenta y dos horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
43,"Cuarenta y trés horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
44,"Cuarenta y cuatro horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
45,"Cuarenta y cinco horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
46,"Caurenta y séis horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
47,"Cuareta y siete horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
48,"Cuarenta y ocho horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
49,"Caurenta y nueve horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
50,"Cincuenta horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
51,"Cincuenta y uno horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
52,"Cincuenta y dos horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
53,"Cincuenta y trés horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
54,"Cincuenta y cuatro horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
55,"Cincuenta y cinco horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
56,"Cincuenta y séis horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
57,"Cincuenta y siete horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
58,"Cincuenta y ocho horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
59,"Cincuenta y nueve horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
60,"Sesenta horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
61,"Sesenta y uno horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
62,"Sesenta y dos horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
63,"Sesenta y trés horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
64,"Sesenta y cuatro horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
65,"Sesenta y cinco horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
66,"Sesenta y séis horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
67,"Sesenta y siete horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
68,"Sesenta y ocho horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
69,"Sesenta y nueve horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
70,"Setenta horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
71,"Setenta y uno horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
72,"Setenta y dos horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
73,"Setenta y trés horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
74,"Setenta y cuatro horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
75,"Setenta y cinco horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
76,"Setenta y séis horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
77,"Setenta y siete horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
78,"Setenta y ocho horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
79,"Setenta y nueve horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
80,"Ochenta horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
81,"Ochenta y uno horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
82,"Ochenta y dos horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
83,"Ochenta y trés horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
84,"Ochenta y cuatro horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
85,"Ochenta y cinco horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
86,"Ochenta y séis horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
87,"Ochenta y siete horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
88,"Ochenta y ocho horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
89,"Ochenta y nueve horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
90,"Noventa horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
91,"Noventa y uno horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
92,"Noventa y dos horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
93,"Noventa y trés horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
94,"Noventa y cuatro horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
95,"Noventa y cinco horas de ayuda a reparar o dar mantenimiento a su vivienda, muebles o aparatos electrodomésticos o vehículos "
