CVE,DESCRIP
0,Sin horas de cuidado o atención sin pago
1,Una hora de cuidado o atención sin pago
2,Dos horas de cuidado o atención sin pago
3,Tres horas de cuidado o atención sin pago
4,Cuatro horas de cuidado o atención sin pago
5,Cinco horas de cuidado o atención sin pago
6,Séis horas de cuidado o atención sin pago
7,Siete horas de cuidado o atención sin pago
8,Ocho horas de cuidado o atención sin pago
9,Nueve horas de cuidado o atención sin pago
10,Diez horas de cuidado o atención sin pago
11,Once horas de cuidado o atención sin pago
12,Doce horas de cuidado o atención sin pago
13,Trece horas de cuidado o atención sin pago
14,Catorce horas de cuidado o atención sin pago
15,Quince horas de cuidado o atención sin pago
16,Diciséis horas de cuidado o atención sin pago
17,Diecisiete horas de cuidado o atención sin pago
18,Dieciocho horas de cuidado o atención sin pago
19,Diecinueve horas de cuidado o atención sin pago
20,Veinte horas de cuidado o atención sin pago
21,Veintiuno horas de cuidado o atención sin pago
22,Veintidos horas de cuidado o atención sin pago
23,Veintitrés horas de cuidado o atención sin pago
24,Veintcuatro horas de cuidado o atención sin pago
25,Veinticinco horas de cuidado o atención sin pago
26,Veintiséis horas de cuidado o atención sin pago
27,Veintisiete horas de cuidado o atención sin pago
28,Veintiocho horas de cuidado o atención sin pago
29,Veintinueve horas de cuidado o atención sin pago
30,Treinta horas de cuidado o atención sin pago
31,Treinta y uno horas de cuidado o atención sin pago
32,Treinta y dos horas de cuidado o atención sin pago
33,Treinta y trés horas de cuidado o atención sin pago
34,Treinta y cuatro horas de cuidado o atención sin pago
35,Treinta y cinco horas de cuidado o atención sin pago
36,Treinta y séis horas de cuidado o atención sin pago
37,Treinta y siete horas de cuidado o atención sin pago
38,Treinta y ocho horas de cuidado o atención sin pago
39,Treinta y nueve horas de cuidado o atención sin pago
40,Cuarenta horas de cuidado o atención sin pago
41,Cuarenta y uno horas de cuidado o atención sin pago
42,Cuarenta y dos horas de cuidado o atención sin pago
43,Cuarenta y trés horas de cuidado o atención sin pago
44,Cuarenta y cuatro horas de cuidado o atención sin pago
45,Cuarenta y cinco horasde cuidado o atención sin pago
46,Caurenta y séis horas de cuidado o atención sin pago
47,Cuareta y siete horas de cuidado o atención sin pago
48,Cuarenta y ocho horas de cuidado o atención sin pago
49,Caurenta y nueve horas de cuidado o atención sin pago
50,Cincuenta horas de cuidado o atención sin pago
51,Cincuenta y uno horas de cuidado o atención sin pago
52,Cincuenta y dos horas de cuidado o atención sin pago
53,Cincuenta y trés horas de cuidado o atención sin pago
54,Cincuenta y cuatro horas de cuidado o atención sin pago
55,Cincuenta y cinco horas de cuidado o atención sin pago
56,Cincuenta y séis horas de cuidado o atención sin pago
57,Cincuenta y siete horas de cuidado o atención sin pago
58,Cincuenta y ocho horas de cuidado o atención sin pago
59,Cincuenta y nueve horas de cuidado o atención sin pago
60,Sesenta horas de cuidado o atención sin pago
61,Sesenta y uno horas de cuidado o atención sin pago
62,Sesenta y dos horas de cuidado o atención sin pago
63,Sesenta y trés horas de cuidado o atención sin pago
64,Sesenta y cuatro horas de cuidado o atención sin pago
65,Sesenta y cinco horas de cuidado o atención sin pago
66,Sesenta y séis horas de cuidado o atención sin pago
67,Sesenta y siete horas de cuidado o atención sin pago
68,Sesenta y ocho horas de cuidado o atención sin pago
69,Sesenta y nueve horas de cuidado o atención sin pago
70,Setenta horas de cuidado o atención sin pago
71,Setenta y uno horas de cuidado o atención sin pago
72,Setenta y dos horas de cuidado o atención sin pago
73,Setenta y trés horas de cuidado o atención sin pago
74,Setenta y cuatro horas de cuidado o atención sin pago
75,Setenta y cinco horas de cuidado o atención sin pago
76,Setenta y séis horas de cuidado o atención sin pago
77,Setenta y siete horas de cuidado o atención sin pago
78,Setenta y ocho horas de cuidado o atención sin pago
79,Setenta y nueve horas de cuidado o atención sin pago
80,Ochenta horas de cuidado o atención sin pago
81,Ochenta y uno horas de cuidado o atención sin pago
82,Ochenta y dos horas de cuidado o atención sin pago
83,Ochenta y trés horas de cuidado o atención sin pago
84,Ochenta y cuatro horas de cuidado o atención sin pago
85,Ochenta y cinco horas de cuidado o atención sin pago
86,Ochenta y séis horas de cuidado o atención sin pago
87,Ochenta y siete horas de cuidado o atención sin pago
88,Ochenta y ocho horas de cuidado o atención sin pago
89,Ochenta y nueve horas de cuidado o atención sin pago
90,Noventa horas de cuidado o atención sin pago
91,Noventa y uno horas de cuidado o atención sin pago
92,Noventa y dos horas de cuidado o atención sin pago
93,Noventa y trés horas de cuidado o atención sin pago
94,Noventa y cuatro horas de cuidado o atención sin pago
95,Noventa y cinco horas de cuidado o atención sin pago
96,Noventa y séis horas de cuidado o atención sin pago
97,Noventa y siete horas de cuidado o atención sin pago
98,Cuidó o atendió sin pago pero no sabe cuánto tiempo
99,No sabe
