CVE,DESCRIP
,No aplica
0,Sin minutos de realizar quehaceres de su hogar
1,Un minuto de realizar quehaceres de su hogar
2,Dos minutos de realizar quehaceres de su hogar
3,Tres minutos de realizar quehaceres de su hogar
4,Cuatro minutos de realizar quehaceres de su hogar
5,Cinco minutos de realizar quehaceres de su hogar
6,Séis minutos de realizar quehaceres de su hogar
7,Siete minutos de realizar quehaceres de su hogar
8,Ocho minutos de realizar quehaceres de su hogar
9,Nueve minutos de realizar quehaceres de su hogar
10,Diez minutos de realizar quehaceres de su hogar
11,Once minutos de realizar quehaceres de su hogar
12,Doce minutos de realizar quehaceres de su hogar
13,Trece minutos de realizar quehaceres de su hogar
14,Catorce minutos de realizar quehaceres de su hogar
15,Quince minutos de realizar quehaceres de su hogar
16,Dieciséis minutos de realizar quehaceres de su hogar
17,Diecisiete minutos de realizar quehaceres de su hogar
18,Dieciocho minutos de realizar quehaceres de su hogar
19,Diecinueve minutos de realizar quehaceres de su hogar
20,Veinte minutos de realizar quehaceres de su hogar
21,Veintiuno minutos de realizar quehaceres de su hogar
22,Veintidos minutos de realizar quehaceres de su hogar
23,Veintitres minutos de realizar quehaceres de su hogar
24,Veinticuatro minutos de realizar quehaceres de su hogar
25,Veinticinco minutos de realizar quehaceres de su hogar
26,Veintiséis minutos de realizar quehaceres de su hogar
27,Veintisiete minutos de realizar quehaceres de su hogar
28,Veintiocho minutos de realizar quehaceres de su hogar
29,Veintinueve minutos de realizar quehaceres de su hogar
30,Treinta minutos de realizar quehaceres de su hogar
31,Treinta y uno minutos de realizar quehaceres de su hogar
32,Treinta y dos minutos de realizar quehaceres de su hogar
33,Treinta y tres minutos de realizar quehaceres de su hogar
34,Treinta y cuatro minutos de realizar quehaceres de su hogar
35,Treinta y cinco minutos de realizar quehaceres de su hogar
36,Treinta y séis minutos de realizar quehaceres de su hogar
37,Treinta y siete minutos de realizar quehaceres de su hogar
38,Treinta y ocho minutos de realizar quehaceres de su hogar
39,Treinta y nueve minutos de realizar quehaceres de su hogar
40,Cuarenta minutos de realizar quehaceres de su hogar
41,Cuarenta y uno minutos de realizar quehaceres de su hogar
42,Cuarenta y dos minutos de realizar quehaceres de su hogar
43,Cuarenta y tres minutos de realizar quehaceres de su hogar
44,Cuarenta y cuatro minutos de realizar quehaceres de su hogar
45,Cuarenta y cinco minutos de realizar quehaceres de su hogar
46,Cuarenta y séis minutos de realizar quehaceres de su hogar
47,Cuarenta y siete minutos de realizar quehaceres de su hogar
48,Cuarenta y ocho minutos de realizar quehaceres de su hogar
49,Cuarenta y nueve minutos de realizar quehaceres de su hogar
50,Cincuenta minutos de realizar quehaceres de su hogar
51,Cincuenta y uno minutos de realizar quehaceres de su hogar
52,Cincuenta y dos minutos de realizar quehaceres de su hogar
53,Cincuenta y tres minutos de realizar quehaceres de su hogar
54,Cincuenta y cuatro minutos de realizar quehaceres de su hogar
55,Cincuenta y cinco minutos de realizar quehaceres de su hogar
56,Cincuenta y seis minutos de realizar quehaceres de su hogar
57,Cincuenta y siete minutos de realizar quehaceres de su hogar
58,Cincuenta y ocho minutos de realizar quehaceres de su hogar
59,Cincuenta y nueve minutos de realizar quehaceres de su hogar
