CVE,DESCRIP
0,Sin número de minutos de estudiar o hacer tareas escolares
1,Un minuto de estudiar o hacer tareas escolares
2,Dos minutos de estudiar o hacer tareas escolares
3,Tres minutos de estudiar o hacer tareas escolares
4,Cuatro minutos de estudiar o hacer tareas escolares
5,Cinco minutos de estudiar o hacer tareas escolares
6,Séis minutos de estudiar o hacer tareas escolares
7,Siete minutos de estudiar o hacer tareas escolares
8,Ocho minutos de estudiar o hacer tareas escolares
9,Nueve minutos de estudiar o hacer tareas escolares
10,Diez minutos de estudiar o hacer tareas escolares
11,Once minutos de estudiar o hacer tareas escolares
12,Doce minutos de estudiar o hacer tareas escolares
13,Trece minutos de estudiar o hacer tareas escolares
14,Catorce minutos de estudiar o hacer tareas escolares
15,Quince minutos de estudiar o hacer tareas escolares
16,Dieciséis minutos de estudiar o hacer tareas escolares
17,Diecisiete minutos de estudiar o hacer tareas escolares
18,Dieciocho minutos de estudiar o hacer tareas escolares
19,Diecinueve minutos de estudiar o hacer tareas escolares
20,Veinte minutos de estudiar o hacer tareas escolares
21,Veintiuno minutos de estudiar o hacer tareas escolares
22,Veintidos minutos de estudiar o hacer tareas escolares
23,Veintitres minutos de estudiar o hacer tareas escolares
24,Veinticuatro minutos de estudiar o hacer tareas escolares
25,Veinticinco minutos de estudiar o hacer tareas escolares
26,Veintiséis minutos de estudiar o hacer tareas escolares
27,Veintisiete minutos de estudiar o hacer tareas escolares
28,Veintiocho minutos de estudiar o hacer tareas escolares
29,Veintinueve minutos de estudiar o hacer tareas escolares
30,Treinta minutos de estudiar o hacer tareas escolares
31,Treinta y uno minutos de estudiar o hacer tareas escolares
32,Treinta y dos minutos de estudiar o hacer tareas escolares
33,Treinta y tres minutos de estudiar o hacer tareas escolares
34,Treinta y cuatro minutos de estudiar o hacer tareas escolares
35,Treinta y cinco minutos de estudiar o hacer tareas escolares
36,Treinta y séis minutos de estudiar o hacer tareas escolares
37,Treinta y siete minutos de estudiar o hacer tareas escolares
38,Treinta y ocho minutos de estudiar o hacer tareas escolares
39,Treinta y nueve minutos de estudiar o hacer tareas escolares
40,Cuarenta minutos de estudiar o hacer tareas escolares
41,Cuarenta y uno minutos de estudiar o hacer tareas escolares
42,Cuarenta y dos minutos de estudiar o hacer tareas escolares
43,Cuarenta y tres minutos de estudiar o hacer tareas escolares
44,Cuarenta y cuatro minutos de estudiar o hacer tareas escolares
45,Cuarenta y cinco minutos de estudiar o hacer tareas escolares
46,Cuarenta y séis minutos de estudiar o hacer tareas escolares
47,Cuarenta y siete minutos de estudiar o hacer tareas escolares
48,Cuarenta y ocho minutos de estudiar o hacer tareas escolares
49,Cuarenta y nueve minutos de estudiar o hacer tareas escolares
50,Cincuenta minutos de estudiar o hacer tareas escolares
51,Cincuenta y uno minutos de estudiar o hacer tareas escolares
52,Cincuenta y dos minutos de estudiar o hacer tareas escolares
53,Cincuenta y tres minutos de estudiar o hacer tareas escolares
54,Cincuenta y cuatro minutos de estudiar o hacer tareas escolares
55,Cincuenta y cinco minutos de estudiar o hacer tareas escolares
56,Cincuenta y seis minutos de estudiar o hacer tareas escolares
57,Cincuenta y siete minutos de estudiar o hacer tareas escolares
58,Cincuenta y ocho minutos de estudiar o hacer tareas escolares
59,Cincuenta y nueve minutos de estudiar o hacer tareas escolares
